Ortschaft;14.12.2018;21.12.2018;18.01.2019;02.02.2019;15.02.2019;15.03.2019;06.04.2019;24.05.2019;27.09.2019;28.09.2019
Aarau (Aarau);;;300;;;500;1000;;150;
Baden (Aarau);;;300;;;600;;300;100;
Basel;;500;1'000;8'000;;2'000;3'000;2'000;;
Bellinzona (Ticino);;;;1'500;;4'000;;600;;
Bern;;1'000;2'000;4'500;;8'000;8'000;6'500;;100'000
Biel / Bienne;;;300;1'100;;500;800;400;400;
Brig;;;;;;50;;;;
Burgdorf;;;;;;;;40;;
Chur;;;300;;;150;;;;
Davos;;;;;;;;15;6;
Delémont;;;500;700;;400;;150;;
Frauenfeld;;;;;;300;300;;100;
Fribourg;;;1'250;2'500;;2'000;1'600;700;1'200;
Genf;;;5'000;4'500;;15'000;3'000;2'500;3'000;
Glarus;;;;200;;;150;30;50;
Ins;;;;;;;;;;
Köniz;;;;;;;;400;;
Kreuzlingen;;;;;;;;;;
La Chaux-de-Fonds;;;;;;;1000;;;
Lausanne;;;8'000;17'000;;15'000;9'000;7'500;800;
Langenthal;;;;;;;;125;;
Lugano;;;;;;;100;;;
Luzern;;;500;2'500;;1'500;2'000;700;;
Münsingen;;;;;;;;60;;
Neuchâtel;;;1'500;3'000;;2'000;;1'000;50;
Olten;;;;;;200;300;150;;
Porrentruy (Jura);;;100;;;;250;;130;
Rapperswil (Zürich);;;;;;100;;;10;
Sarnen;;;;;;;100;;;
Schaffhausen;;;;;400;;;500;40;
Sion;;;;;;120;;400;;
Solothurn;;;300;600;;150;200;100;;
St. Gallen;;350;600;2'000;;2'000;1'500;700;;
Thun;;;;;;800;300;500;;
Winterthur;;;;;;;4'000;;150;
Zug;;;300;;;250;300;80;15;
Zürich;500;1'000;2'000;17'000;;13'000;15'000;10'000;1'000;
