"","Ortschaft","Kanton","Datum","Anzahl"
"1","Zürich","ZH",2018-12-14,500
"2","Basel","BS",2018-12-21,500
"3","Bern","BE",2018-12-21,1000
"4","St. Gallen","SG",2018-12-21,350
"5","Zürich","ZH",2018-12-21,1000
"6","Aarau","AG",2019-01-18,300
"7","Baden","AG",2019-01-18,300
"8","Basel","BS",2019-01-18,1000
"9","Bern","BE",2019-01-18,2000
"10","Biel/Bienne","BE",2019-01-18,300
"11","Chur","GR",2019-01-18,300
"12","Delémont","JU",2019-01-18,500
"13","Fribourg","FR",2019-01-18,1250
"14","Genève","GE",2019-01-18,5000
"15","Lausanne","VD",2019-01-18,8000
"16","Luzern","LU",2019-01-18,500
"17","Neuchâtel","NE",2019-01-18,1500
"18","Porrentruy","JU",2019-01-18,100
"19","Solothurn","SO",2019-01-18,300
"20","St. Gallen","SG",2019-01-18,600
"21","Zug","ZG",2019-01-18,300
"22","Zürich","ZH",2019-01-18,2000
"23","Basel","BS",2019-02-02,8000
"24","Bellinzona","TI",2019-02-02,1500
"25","Bern","BE",2019-02-02,4500
"26","Biel/Bienne","BE",2019-02-02,1100
"27","Delémont","JU",2019-02-02,700
"28","Fribourg","FR",2019-02-02,2500
"29","Genève","GE",2019-02-02,4500
"30","Glarus","GL",2019-02-02,200
"31","Lausanne","VD",2019-02-02,17000
"32","Luzern","LU",2019-02-02,2500
"33","Neuchâtel","NE",2019-02-02,3000
"34","Solothurn","SO",2019-02-02,600
"35","St. Gallen","SG",2019-02-02,2000
"36","Zürich","ZH",2019-02-02,17000
"37","Schaffhausen","SH",2019-02-15,400
"38","St. Gallen","SG",2019-02-15,350
"39","Aarau","AG",2019-03-15,500
"40","Baden","AG",2019-03-15,600
"41","Basel","BS",2019-03-15,2000
"42","Bellinzona","TI",2019-03-15,4000
"43","Bern","BE",2019-03-15,8000
"44","Biel/Bienne","BE",2019-03-15,500
"45","Brig-Glis","VS",2019-03-15,50
"46","Chur","GR",2019-03-15,150
"47","Delémont","JU",2019-03-15,400
"48","Frauenfeld","TG",2019-03-15,300
"49","Fribourg","FR",2019-03-15,2000
"50","Genève","GE",2019-03-15,15000
"51","Glarus","GL",2019-03-15,100
"52","Lausanne","VD",2019-03-15,15000
"53","Luzern","LU",2019-03-15,1500
"54","Neuchâtel","NE",2019-03-15,2000
"55","Olten","SO",2019-03-15,200
"56","Rapperswil-Jona","ZH",2019-03-15,100
"57","Sion","VS",2019-03-15,1200
"58","Solothurn","SO",2019-03-15,150
"59","St. Gallen","SG",2019-03-15,2000
"60","Thun","BE",2019-03-15,800
"61","Zug","ZG",2019-03-15,250
"62","Zürich","ZH",2019-03-15,13000
"63","Aarau","AG",2019-04-06,1000
"64","Basel","BS",2019-04-06,3000
"65","Bern","BE",2019-04-06,8000
"66","Biel/Bienne","BE",2019-04-06,800
"67","Frauenfeld","TG",2019-04-06,300
"68","Fribourg","FR",2019-04-06,1600
"69","Genève","GE",2019-04-06,3000
"70","Glarus","GL",2019-04-06,150
"71","La Chaux-de-Fonds","NE",2019-04-06,1000
"72","Lausanne","VD",2019-04-06,9000
"73","Lugano","TI",2019-04-06,100
"74","Luzern","LU",2019-04-06,2000
"75","Olten","SO",2019-04-06,300
"76","Porrentruy","JU",2019-04-06,250
"77","Sarnen","OW",2019-04-06,100
"78","Solothurn","SO",2019-04-06,200
"79","St. Gallen","SG",2019-04-06,1500
"80","Thun","BE",2019-04-06,300
"81","Winterthur","ZH",2019-04-06,4000
"82","Zug","ZG",2019-04-06,300
"83","Zürich","ZH",2019-04-06,15000
"84","Ins","BE",2019-05-04,300
"85","Winterthur","ZH",2019-05-04,2500
"86","Baden","AG",2019-05-24,300
"87","Basel","BS",2019-05-24,2000
"88","Bellinzona","TI",2019-05-24,600
"89","Bern","BE",2019-05-24,6500
"90","Biel/Bienne","BE",2019-05-24,400
"91","Burgdorf","BE",2019-05-24,40
"92","Davos","GR",2019-05-24,15
"93","Delémont","JU",2019-05-24,150
"94","Fribourg","FR",2019-05-24,700
"95","Genève","GE",2019-05-24,2500
"96","Glarus","GL",2019-05-24,30
"97","Köniz","BE",2019-05-24,400
"98","Lausanne","VD",2019-05-24,7500
"99","Langenthal","BE",2019-05-24,125
"100","Luzern","LU",2019-05-24,700
"101","Münsingen","BE",2019-05-24,60
"102","Neuchâtel","NE",2019-05-24,1000
"103","Olten","SO",2019-05-24,150
"104","Schaffhausen","SH",2019-05-24,500
"105","Sion","VS",2019-05-24,400
"106","Solothurn","SO",2019-05-24,100
"107","St. Gallen","SG",2019-05-24,700
"108","Thun","BE",2019-05-24,500
"109","Zug","ZG",2019-05-24,80
"110","Zürich","ZH",2019-05-24,10000
"111","Aarau","AG",2019-08-31,150
"112","Affoltern am Albis","ZH",2019-08-31,180
"113","Allschwil","BL",2019-08-31,50
"114","Bülach","ZH",2019-08-31,220
"115","Martigny","VD",2019-08-31,80
"116","Degersheim","SG",2019-08-31,50
"117","Erlach","BE",2019-08-31,100
"118","Hettlingen","ZH",2019-08-31,80
"119","Horgen","ZH",2019-08-31,250
"120","Interlaken","BE",2019-08-31,100
"121","Langenthal","BE",2019-08-31,150
"122","Lyss","BE",2019-08-31,20
"123","Massongex","VS",2019-08-31,20
"124","Münsingen","BE",2019-08-31,200
"125","Pfäffikon","ZH",2019-08-31,120
"126","Saignelégier","JU",2019-08-31,70
"127","Sarnen","OW",2019-08-31,30
"128","Schwarzenburg","BE",2019-08-31,120
"129","Stans","NW",2019-08-31,50
"130","Teufen (AR)","AR",2019-08-31,135
"131","Uster","ZH",2019-08-31,200
"132","Vuiteboeuf","VD",2019-08-31,25
"133","Wattwil","SG",2019-08-31,170
"134","Wetzikon (ZH)","ZH",2019-08-31,220
"135","Zollikofen","BE",2019-08-31,40
"136","Aarau","AG",2019-09-27,150
"137","Baden","AG",2019-09-27,100
"138","Biel/Bienne","BE",2019-09-27,400
"139","Davos","GR",2019-09-27,6
"140","Frauenfeld","TG",2019-09-27,100
"141","Fribourg","FR",2019-09-27,1200
"142","Genève","GE",2019-09-27,3000
"143","Glarus","GL",2019-09-27,50
"144","Lausanne","VD",2019-09-27,8000
"145","Neuchâtel","NE",2019-09-27,500
"146","Porrentruy","JU",2019-09-27,130
"147","Rapperswil-Jona","ZH",2019-09-27,100
"148","Schaffhausen","SH",2019-09-27,400
"149","Winterthur","ZH",2019-09-27,1500
"150","Zug","ZG",2019-09-27,150
"151","Zürich","ZH",2019-09-27,10000
"152","Bern","BE",2019-09-28,100000
"153","Aarau","AG",2019-11-29,100
"154","Basel","BS",2019-11-29,1000
"155","Bellinzona","TI",2019-11-29,1500
"156","Bern","BE",2019-11-29,2000
"157","Biel/Bienne","BE",2019-11-29,400
"158","Davos","GR",2019-11-29,10
"159","Fribourg","FR",2019-11-29,500
"160","Genève","GE",2019-11-29,3000
"161","Lausanne","VD",2019-11-29,1000
"162","Luzern","LU",2019-11-29,250
"163","Olten","SO",2019-11-29,100
"164","Winterthur","ZH",2019-11-29,1500
"165","Zug","ZG",2019-11-29,80
"166","Zürich","ZH",2019-11-29,4000
